FISCAL_YEAR,FISCAL_MONTH_NBR,FISCAL_MONTH_BEGIN_DT,FISCAL_MONTH_END_DT
2017,1,30 01 2017,26 02 2017
2017,2,27 02 2017,26 03 2017
2017,3,27 03 2017,30 04 2017
2017,4,1 05 2017,28 05 2017
2017,5,29 05 2017,25 06 2017
2017,6,26 06 2017,30 07 2017
2017,7,31 07 2017,27 08 2017
2017,8,28 08 2017,24 09 2017
2017,9,25 09 2017,29 10 2017
2017,10,30 10 2017,26 11 2017
2017,11,27 11 2017,24 12 2017
2017,12,25 12 2017,28 01 2018
2018,1,29 01 2018,25 02 2018
2018,2,26 02 2018,25 03 2018
2018,3,26 03 2018,29 04 2018
2018,4,30 04 2018,27 05 2018
2018,5,28 05 2018,24 06 2018
2018,6,25 06 2018,29 07 2018
2018,7,30 07 2018,26 08 2018
2018,8,27 08 2018,23 09 2018
2018,9,24 09 2018,28 10 2018
2018,10,29 10 2018,25 11 2018
2018,11,26 11 2018,23 12 2018
2018,12,24 12 2018,3 02 2019
2019,1,4 02 2019,3 03 2019
2019,2,4 03 2019,31 03 2019
2019,3,1 04 2019,5 05 2019
2019,4,6 05 2019,2 06 2019
2019,5,3 06 2019,30 06 2019
2019,6,1 07 2019,4 08 2019
2019,7,5 08 2019,1 09 2019
2019,8,2 09 2019,29 09 2019
2019,9,30 09 2019,3 11 2019
2019,10,4 11 2019,1 12 2019
2019,11,2 12 2019,29 12 2019
2019,12,30 12 2019,2 02 2020
2020,1,3 02 2020,1 03 2020
2020,2,2 03 2020,29 03 2020
2020,3,30 03 2020,3 05 2020
2020,4,4 05 2020,31 05 2020
2020,5,1 06 2020,28 06 2020
2020,6,29 06 2020,2 08 2020
2020,7,3 08 2020,30 08 2020
2020,8,31 08 2020,27 09 2020
2020,9,28 09 2020,1 11 2020
2020,10,2 11 2020,29 11 2020
2020,11,30 11 2020,27 12 2020
2020,12,28 12 2020,31 01 2021
